creator,video_title,link,upload_date,period,food_type,portion_size,views,likes,comments,food_quantity,calories
Nikocado Avocado,Wendy's Eating Show • MUKBANG,https://www.youtube.com/watch?v=u1EjQPlMfF4,2017-05-30,early,mixed/unknown,extreme,162554,2430,452,,
Nikocado Avocado,Jajangmyeon • 5 Packs Black Bean Noodles With My Sloth • MUKBANG,https://www.youtube.com/watch?v=slJv6TEssfM,2017-05-29,early,ramen/noodles,extreme,560736,6542,1063,,
Nikocado Avocado,McDonald's • MUKBANG,https://www.youtube.com/watch?v=mRbOjo1Gzho,2017-05-28,early,mixed/unknown,extreme,242779,3471,973,,
Nikocado Avocado,Indomie Goreng • 6 Packs Noodle Challenge With My Sloth • MUKBANG,https://www.youtube.com/watch?v=64VI0rEy3v8,2017-05-27,early,ramen/noodles,extreme,899099,14783,3974,,
Nikocado Avocado,Burger King • Las Vegas Casinos • MUKBANG,https://www.youtube.com/watch?v=XU5_AsadKTE,2017-05-26,early,burger,extreme,119615,2148,435,,
Nikocado Avocado,Fire Takis Noodles With My Sloth • MUKBANG,https://www.youtube.com/watch?v=iPGZ8y3rUZE,2017-05-25,early,ramen/noodles,extreme,2732861,41829,13200,,
Nikocado Avocado,Panda Express • MUKBANG,https://www.youtube.com/watch?v=QJ8EW46osUE,2017-05-24,early,mixed/unknown,extreme,386118,5113,956,,
Nikocado Avocado,200 Sushi Challenge With My Sloth • MUKBANG,https://www.youtube.com/watch?v=rCNUCXoQA_M,2017-05-23,early,mixed/unknown,extreme,1173441,18873,5527,,
Nikocado Avocado,UNBOXING MY BIRTHDAY PRESENTS • Mail Haul,https://www.youtube.com/watch?v=KHEC5PUHnWA,2017-05-23,early,mixed/unknown,unknown,52797,1531,355,,
Nikocado Avocado,Caught On Camera: Almost Stabbed At Jack In The Box (Not For Kids),https://www.youtube.com/watch?v=e--5ffRAu7w,2017-05-22,early,mixed/unknown,large,9963540,113245,29257,907 calories,2907
Nikocado Avocado,"MY CUTE BABY SLOTH (Yes, She's Real)",https://www.youtube.com/watch?v=wj2UuokAONU,2017-05-21,early,mixed/unknown,unknown,1627937,26915,5998,,
Nikocado Avocado,Jollibee • MUKBANG,https://www.youtube.com/watch?v=HUOaZOpEc8Q,2017-05-20,early,mixed/unknown,extreme,520230,6297,1280,,
Nikocado Avocado,Cheesecake Factory • MUKBANG,https://www.youtube.com/watch?v=En2gmP6q91Q,2017-05-19,early,dessert/sweets,extreme,406703,4671,827,000 calorie feast,4000
Nikocado Avocado,"Wings Challenge • 3,000 Calories • MUKBANG",https://www.youtube.com/watch?v=vweBpiz8o1U,2017-05-18,early,mixed/unknown,large,696158,8261,4235,000 calories • mukbang watch me eat nearly 3; 000 calories of wings in 1 sitting -- for breakfast,3000
Nikocado Avocado,Giant Alfredo Pizza & Fettuccine • MUKBANG,https://www.youtube.com/watch?v=HQYFsXqbUj0,2017-05-17,early,pizza,super extreme,3127228,21134,6581,,
Nikocado Avocado,In-N-Out Burger • MUKBANG,https://www.youtube.com/watch?v=CYQNXpSF4uk,2017-05-16,early,burger,extreme,527668,5969,976,,
Nikocado Avocado,"Carl's Jr • 3,000 Calories • Las Vegas • MUKBANG",https://www.youtube.com/watch?v=mcHkgIQdS3w,2017-05-15,early,mixed/unknown,large,326708,4514,665,000 calories • las vegas • mukbang watch me eat at carl's jr for the 1st time ever in las vegas; 830 calories); 330 calories); 770 calories); 470 calories),3000
Nikocado Avocado,Heart Attack Grill With Hungry Fat Chick • MUKBANG,https://www.youtube.com/watch?v=W5q8RFpkAyM,2017-05-14,early,mixed/unknown,super extreme,12761670,121422,35676,350 pounds; 350 lb (160 kg) in weight eat for free if they weigh in with a doctor or nurse before each burger; 32 ounces (230 to 910 g) of beef (up to about 8; 000 calorie burger; 000 calories (33,20000
Nikocado Avocado,Our Pizza Wedding Cake • MUKBANG,https://www.youtube.com/watch?v=ED1LWh9VvuU,2017-05-13,early,pizza,extreme,265625,3616,774,,
Nikocado Avocado,"Sonic Drive-In • 3,000 Calories • MUKBANG",https://www.youtube.com/watch?v=voPJtABYhBc,2017-05-12,early,mixed/unknown,large,395126,4835,694,000 calories • mukbang watch me eat at sonic drive-in; 000 calories of food in front of you and talk about my terrible flight experience,3000
Nikocado Avocado,Why I'm Leaving. Saying Goodbye.,https://www.youtube.com/watch?v=GfTwmZMHhbY,2017-05-11,early,mixed/unknown,unknown,171671,2589,715,,
Nikocado Avocado,HEARTBROKEN,https://www.youtube.com/watch?v=bH0Ou58wu-g,2017-05-07,early,mixed/unknown,unknown,513949,5209,3260,,
Nikocado Avocado,DELICIOUS FLAMIN' HOT CHEETOS NOODLES • Mukbang & Recipe,https://www.youtube.com/watch?v=jj6vq-Kfmxk,2017-05-06,early,ramen/noodles,extreme,4599367,43128,6115,,
Nikocado Avocado,Street Food • MUKBANG,https://www.youtube.com/watch?v=inQSLkkKMFc,2017-05-03,early,mixed/unknown,extreme,131075,2580,474,,
Nikocado Avocado,Noodles With Mr. Noodle • MUKBANG,https://www.youtube.com/watch?v=8Ef4NxL3Xy8,2017-05-02,early,ramen/noodles,extreme,128617,2006,490,,
Nikocado Avocado,Massive Taco Bell Feast • MUKBANG,https://www.youtube.com/watch?v=Q0M3w-txIEY,2017-05-01,early,taco/burrito,super extreme,585181,6489,1153,,
Nikocado Avocado,"Bacon, Hash Browns, Crepes, & Cheesecake Pancakes • Ihop • MUKBANG",https://www.youtube.com/watch?v=KpC7UJtwNJg,2017-04-30,early,dessert/sweets,large,278240,3755,509,000 calories of american breakfast food,3000
Nikocado Avocado,Loaded Cheesy Wings & Smothered Smoked Burrito • Chili's • MUKBANG,https://www.youtube.com/watch?v=--rJ1kqIvNE,2017-04-29,early,taco/burrito,extreme,281830,3545,462,,
Nikocado Avocado,We Got Married • Our Wedding Cake • MUKBANG,https://www.youtube.com/watch?v=TBHtg8iZx_0,2017-04-28,early,dessert/sweets,extreme,776870,12360,6155,,
Nikocado Avocado,CHEESY ALFREDO COOL RANCH DORITOS FETTUCCINE • Mukbang & Recipe,https://www.youtube.com/watch?v=DefCKaSr3Fk,2017-04-27,early,mixed/unknown,extreme,2204230,23445,3435,,
Nikocado Avocado,All You Can Eat • Massive Chinese Buffet • MUKBANG,https://www.youtube.com/watch?v=2sGY4Q_SfPo,2017-04-26,early,mixed/unknown,super extreme,594573,8612,2193,,
Nikocado Avocado,Nuclear Fire Noodle Challenge • MUKBANG,https://www.youtube.com/watch?v=B7QPBChocGI,2017-04-25,early,ramen/noodles,extreme,251809,3192,1321,,
Nikocado Avocado,Rainbow Noodle Challenge • MUKBANG,https://www.youtube.com/watch?v=EB2rsupSpnE,2017-04-24,early,ramen/noodles,extreme,1504301,11952,4519,,
Nikocado Avocado,Sushi Challenge Eating Show • MUKBANG,https://www.youtube.com/watch?v=bNvfTl_fKGU,2017-04-23,early,mixed/unknown,extreme,211921,2502,677,70 pieces of sushi paired with sesame seed soy sauce,
Nikocado Avocado,Chorizo Pork Burrito & Cheesy Gucamole Bowl • Chipotle • MUKBANG,https://www.youtube.com/watch?v=0QzQ4tPWIXI,2017-04-22,early,taco/burrito,extreme,159680,2456,1218,,
Nikocado Avocado,Cheesy Avocado Melt & French Onion Soup • Panera Bread • MUKBANG,https://www.youtube.com/watch?v=fcqIms8j688,2017-04-21,early,mixed/unknown,extreme,180293,2194,769,,
Nikocado Avocado,I'm Too Afraid To Go To The Hospital,https://www.youtube.com/watch?v=hMHXvQQK3Zc,2017-04-21,early,mixed/unknown,unknown,24955730,218296,48649,,
Nikocado Avocado,Popeyes • Extra Crispy & Spicy Deep Fried Chicken • MUKBANG,https://www.youtube.com/watch?v=YSdY04zx92s,2017-04-20,early,fried chicken,extreme,283204,3736,815,,
Nikocado Avocado,What Did I Do To Deserve This?,https://www.youtube.com/watch?v=uIRad4Cs5H8,2017-04-20,early,mixed/unknown,unknown,656498,4844,1426,,
Nikocado Avocado,Red Lobster • Ultimate Seafood Feast  • MUKBANG,https://www.youtube.com/watch?v=nULAe9RRLuw,2017-04-19,early,seafood,extreme,826030,9436,2316,,
