User Ethnicity,Food Shown,Tags Used,Likes,Favorites,Shares,Top Comment,Link
N/A,Non-Specific,#cleaneating #fyp #gym #healthycooking #protein ,246.6K,46.4K,14.8K,"""@🌊: The fact some people call real food a diet 🥲""",https://www.tiktok.com/@franzimrbr/video/7600474212276391190?is_from_webapp=1&sender_device=pc
Latina (although its her child in the video),Mexican,#mukbang #foodie #eatingshow #quesabirria #birriatacos ,1.8M,90.2K,315.3K,"""@1098765: Asi empezo James bola😳""",https://www.tiktok.com/@abbymartinez179/video/7608694006133886238?is_from_webapp=1&sender_device=pc
Black,Western,#food#hothoney#recipe#undergroundmusic#xaviersobased,112.4K,19.8K,16.6K,"""@Kappa📿🦇🧛🏼: eating ts throwing it up n eating it again""",https://www.tiktok.com/@swaginthekitchen/video/7600934231786720525?is_from_webapp=1&sender_device=pc
White,Western,#chicken #wrap #weightlossfood #DinnerIdeas ,194.8K,131.6K,33.9K,"""@TH23: How are they only 440 cals when the wrap alone is near on 200 cals?""",https://www.tiktok.com/@mealswithmax/video/7619008349798976790?is_from_webapp=1&sender_device=pc
White,Western,#pancakes #bananapancakes ,298.4K,89.5K,49K,"""@ᴊᴜʟϟᴇᴛᴀ ✞: Photo""",https://www.tiktok.com/@sukamatca30/video/7592055037661039890?is_from_webapp=1&sender_device=pc
White,Western,#fyp #food #sandwich #chicken #cheese ,365.2K,57.7K,76K,"""@TryingSuperHard: Half sandwich. Half soup.""",https://www.tiktok.com/@bitta_banging/video/7613466702159957270?is_from_webapp=1&sender_device=pc
N/A,Western,#tallinn #cheesecake #tiktokfood #tallinnestonia #spain ,100.8K,5029,2170,"""@Max Stirner: It’s basque, not spanish""",https://www.tiktok.com/@ohmycake.tln/video/7593441425153363222?is_from_webapp=1&sender_device=pc
WANA/MENA (Unspecified),Western,#fyp #fasting #foodie #mukbang #comedy ,234.9K,7853,7834,"""@rhoda 🇸🇾: are they gonna pretend to fast with me when i’m making up the days?""",https://www.tiktok.com/@carragh.m/video/7614360810546007303?is_from_webapp=1&sender_device=pc
Asian (Unspecified),Western,#dinnerwithme #DinnerIdeas #dinner #cooking #Foodie,611.7K,13.2K,5041,"""@Husband: Photo""",https://www.tiktok.com/@erica_sherwood/video/7617665894675795213?is_from_webapp=1&sender_device=pc
Korean,Korean,#cooking #buldak #asmr #food ,195.5K,12.3K,4031,"""@Nabiya fatima❤️: Anyone watching this video in 2026😂""",https://www.tiktok.com/@stoney_choi/video/7590314209229982997?is_from_webapp=1&sender_device=pc
Asian (Unspecified),Western,#pizza #asmr #recipeideas #dinnerideas #butterchicken ,394K,74.1K,75.4K,"""@Y: I genuinely want to marry you""",https://www.tiktok.com/@tdk0420/video/7616864058024709407?is_from_webapp=1&sender_device=pc
Asian (Unspecified),Non-Specific (?),#foodies #foodtiktok #buffet #seafood #allyoucaneat ,499.5K,26.3K,28.9K,"""@dvictoriams: if you get breaks, im never leaving.""",https://www.tiktok.com/@tienteaa/video/7608192678840388882?is_from_webapp=1&sender_device=pc
White,Non-Specific (??? what do I say about pink glitter chicken. literally), #fyp #fypシ゚viral #fypシ #pinkglitterfood #chickenwings ,2.1M,138.4K,849.6K,"""@Nyssia Mcghee: Me for a week after eating this 😭""",https://www.tiktok.com/@glitterbrainrot/video/7593175348611714318?is_from_webapp=1&sender_device=pc
Asian (Unspecified),Western,#xyzabc #butterchicken #butterchickenrecipe #fyp ,797.2K,45.4K,57.6K,"""@Mae🆘🇺🇸: the search being chase butter chicken is taking me out🤣""",https://www.tiktok.com/@isabelmclurkin/video/7610598936193142029?is_from_webapp=1&sender_device=pc
White,Non-Specific (? its squid),#cookingasmr#outdoorcooking#leon#recipe  #squid ,256.5K,17.7K,17.9K,"""@Marcelo: Photo""",https://www.tiktok.com/@yhrtinty/video/7603228307022236958?is_from_webapp=1&sender_device=pc
Asian (Unspecified),Korean,#mukbang #food #asmr #buldak #friedchicken ,234.4K,10.4K,16.9K,"""@ricecrispy: no more im fasting 😭😭""",https://www.tiktok.com/@bigbackkylejc/video/7611639504197225741?is_from_webapp=1&sender_device=pc
