Username,Video URL,Views,Likes,Comments,Favorites,Shares,Hook,Music,Caption,Face/Faceless,Video Language,Format Type,Hashtags,,hook                       nutella stuffed pancakes basic recipe'                  ,Frequency,,Frequency,,Frequency,,Frequency,,Frequency,,Frequency
Baked by Melissa,https://www.tiktok.com/@bakedbymelissa/video/6978614527701044485,41300000,3400000,13800,423700,212500,SALAD,original sound,my kids are acting completely nuts 😂 ,faceless,english,video,#foodtiktok #recipe #fypシ,,cheese,11,,,#dessert,20,,,,,my,141
Ilona Niina,https://www.tiktok.com/@veganiina/video/7286141290356493600,39700000,3900000,11100,1100000,270900,mini banana pancakes',Le Monde - From Talk to Me,Best snack😮‍💨🍌🍫 Batter ingredients: - 75ml oat milk (1/3 cup) - 1/2 tbsp apple cider vinegar - 50g flour (0.4 cup) - 1/2 tsp vanilla extract - 1/2 tsp baking powder - pinch of salt - 1/2 tbsp vegetable oil Method: 1. Pour the vinegar into the milk and let it sit for 5 mins. This creates the buttermilk.  2. In a bowl combine all the dry ingredients then mix in all the wet ingredients + buttermilk. Mix until well combined.  3. Coat all the banana pieces with the batter and fry on a pan in a little oil on both sides. ,faceless,english,video,#foodtok #easyfood #easyrecipe #vegantiktok #veganrecipes #breakfastideas #veganbreakfast #cutefood #bananapancakes #minifood  ,,garlic,11,,,#dinner,20,,,,,1/2,138
Poppy O’Toole,https://www.tiktok.com/@poppycooks/video/7428228055258254624,39100000,62800,465,10500,5582,"This is my Doritos Loaded Steak, Egg & Chips'",original sound,"AD Here’s my delicious Doritos Loaded Steak, Eggs and Chips. Show me your Doritos Loaded dish by joining the trend #DoritosLoaded 👩‍🍳🍳 @Doritos UK Full recipe 180g bag Doritos Cool Original 200g (roughly) Bavette steak 1 green pepper, cored and sliced 2 cloves garlic, peeled and finely sliced 10g parsley, stalks and all 1 green chilli, halved and deseeded ½ lemon, juiced 1 ripe avocado 2 tbsp sour cream 70g grated mozzarella and cheddar mix 2 eggs 2 spring onions, finely sliced Salt, pepper and olive oil 1. Preheat the oven to 200ºc fan/220ºc. 2. Preheat a large oven-safe frying pan over a high heat. Season your bavette steak well with salt and pepper, then drizzle with olive oil. 3. Fry off the steak on one side for 2-3 minutes for a nice medium rare, then flip it over and add in the sliced garlic and peppers. Cook for another 2 minutes, and add in a drizzle of olive oil to help the vegetables colour. 4. When your steak is cooked, remove from the pan and leave to rest on a plate. Using a small blender or stick blender, blitz together the avocado, sour cream, parsley, lemon juice and chilli with a good pinch of salt and pepper. Season to taste and set aside for later. 5. Slice the steak into thin slices and set aside. 6. Remove the garlic and peppers from the pan and tip in your Doritos Cool Original. Pop the garlic and peppers back on top, and then sprinkle over the grated cheeses and pop into the oven for 5 minutes to melt the cheese. 7. While the pan is in the oven, preheat a frying pan over a medium heat with a glug of oil. 8. Crack the eggs into the oil and fry until the white is completely set but the yolks are still bright and golden. 9. Top your hot cheesy Doritos with the sliced steak, fried eggs and lashings of your delicious green sauce. Sprinkle over the finely sliced spring onions and get stuck in!",faceless,english,video, #DoritosRecipes #LoadedNachos #DoritosLoaded,,lunch,11,,,#viral,19,,,,,your,137
Secrets of Liya,https://www.tiktok.com/@simplecooq/video/7239978159918255406,38900000,2500000,4293,771200,248100,Grilled Chicken Alfredo Pasta',Vintage,"Grilled chicken Alfredo pasta is a delicious and popular dish that combines tender grilled chicken with creamy Alfredo sauce and pasta.  Ingredients: . 3 boneless, skinless chicken breasts marinated with 👇🏻 . 1 tbsp smoked paprika  . 1/2 tbsp black pepper  . 1/2 tbsp salt  . 1/2 garlic powder  . 1/2 tbsp dried parsley  . A pinch of rosemary  Penne pasta (boiled)  Alfredo sauce : . 4 tbsp butter  . 1/4 cup all purpose flour  . 8 oz milk  . 1/2 cup heavy cream  . 3 tbsp cream cheese  . 1/3 cup mozzarella cheese  . 1/3 parmesan cheese . 1 tbsp red chili flakes  . Salt and pepper to taste  . 1 tbsp dried parsley  . 1 tbsp oregano  .Grill the chicken for about 6-8 minutes per side or until cooked through.  Remove from the grill and let it rest for a few minutes. Then, slice the chicken into thin strips. . In a large skillet, heat the butter over medium heat.  . Add all purpose flour, make it smooth make sure the heat is low. Add milk keep stirring add cream cheese. Add heavy cream. Stir continuously until the sauce is smooth and creamy. . Add all the seasonings. . Add the cooked pasta to the skillet and toss it in the Alfredo sauce until well coated. .Add mozzarella cheese and grated Parmesan  . Place the sliced grilled chicken on top of the pasta. . Garnish with  parsley. Serve the grilled chicken Alfredo pasta and enjoy! ",faceless,english,video,#alfredo #alfresco #pasta #pastalover #creamy #creamypasta #italian #whitesaucepasta #explorepage #italianfood #italianpasta #réel #reelsvideo #exploremore #comfortfood #pastarecipe #foodinstagram #foodie #cheesypasta #creamysauce #foodies #reelsexplore #grilledchicken #chicken #recipes #pastafresca #fypシ #fyp ,,n/a,11,,,#cake,18,,,,,recipe,134
Butter Dawg,https://www.tiktok.com/@_butter_dawg_/video/7467704308759399710,38400000,1200000,23200,71900,233400,How to make horchata!',TEXAS HOLD 'EM,How to make horchata!,face,english,video,#foodtok #recipe #howto ,,of,11,,,#ad,17,,,,,is,133
Jasmine León,https://www.tiktok.com/@jazzy.leon/video/7326937481494957343,38000000,2300000,4044,871700,169000,Chicken Alfredo Pasta',Flores Amarillas,Grilled Chicken Alfredo Pasta ✨😋 — One pot recipe that is so simple & so tasty!  ~ Ingredients:  -2 boneless chicken breast (I sliced mine in half) -2 tbsp oil -salt & pepper to taste -paprika (optional) -2 garlic cloves (chopped)  -2 cup whole milk -2 cup chicken broth  -1/2 cup heavy cream (forgot to get in video but add after pasta is cooked)  -8 oz fettuccine  -1 cup grated Parmesan cheese  ,faceless,english,video,#fyp #parati #simplerecipe #quickrecipes #onepotmeals #dinnerideas #quickmeals #30minutemeals #recetasfaciles #chickenalfredo #grilledchicken #fettuccinealfredo #mealsonabudget #pasta #howto #cookwithme #noodles #foodie #foodtiktok #mexicantiktok #recipesoftiktok #onepotpasta #cocinaconmigo ,,pov:,11,,,#healthyrecipes,17,,,,,it,129
Mariella Mahal,https://www.tiktok.com/@mariellamahal/video/7207254677019249962,37400000,4600000,14300,566200,103200,When I ate this on my way to class',original sound,Would you eat this? ,face,english,video,#collegestudent #collegemeals #onigiri #sushibake #storytime ,,&,10,,,#chicken,16,,,,,this,117
"Kylie Sakaida MS, RD",https://www.tiktok.com/@nutritionbykylie/video/7177544400757689643,37000000,48500,185,1949,668,Realistic morning routine',original sound,#NatureMadePartner Morning routine… but make it realistic ft. one of my fave easy breakfasts and @Nature Made  #NatureMadeVitamins ,face,english,video,#NatureMadePartner #NatureMadeVitamins,,5,10,,,#VALUE!,14,,,,,salt,112
HerryJohnson,https://www.tiktok.com/@herryjohns50/video/7204756782370147585,36800000,1600000,4076,544100,192100,Very delicious,original sound - HerryJohnson,It's still delicious without meat in cooking,faceless,english,video,#delicious #diy #homecooking #tasty #fyp #food #foryou #cooking #fypage ,,chip,10,,,#quickrecipes,14,,,,,garlic,103
Dunya ❤️,https://www.tiktok.com/@dunyabakes/video/7332942226361765153,36700000,3900000,10900,653100,53900,girl therapy 🌸🍪❤️',original sound,Pretty girls bake when they’re stressed 💕 Biscoff & white chocolate cookies recipe by @moribyan: 1/2 cup unsalted butter melted 1/2 cup Biscoff spread melted 2/3 cup brown sugar 1/4 cup granulated sugar 1 large egg + 1 yolk 2 teaspoons vanilla extract 1 2/3 cup all purpose flour 1 teaspoon baking soda 3/4 teaspoon salt 3/4 cup white chocolate chips . . . ,faceless,english,video,#baketok #cookies #biscoff #biscoffcookies #whitechocolate #baking #cookierecipe #asmr #fyppppppppppppppppppppppp ,,creamy,10,,,#baketok,13,,,,,butter,102
Josh Elkin,https://www.tiktok.com/@thejoshelkin/video/7285015729278045445,36400000,1700000,9250,436500,558300,nachos.',original sound,21 Layer Air Fryer Nachos Layers below (makes a lot of nachos) 2 bags of Doritos (you chose the flavor) 2 cups salsa verde 1 pound tacos seasoned ground beef 1 cup black beans  4 cups grated Mexican blended cheese 1 cup pickled jalapeños 1/2 cup fresh jalapeños 1 cup diced onions 1/2 cup sour cream 1 cup pico de gallo 1 cup guacamole,faceless,english,video,N/A,,crispy,10,,,#cookies,12,,,,,into,99
Chahrazad’s Cuisine,https://www.tiktok.com/@chahrazadscuisine/video/7029611301106126082,35500000,1400000,5446,25600,11000,Colored Sand Cake',original sound,Colored Sand Cake! Yes or No 🥰 ,face,english,video,#cakes #fyp #foryoupage #satisfyingvideos  #yummy,,me,10,,,#highprotein,12,,,,,i,98
