Username,Video URL,Views,Likes,Comments,Favorites,Shares,Hook,Music,Caption,Face/Faceless,Video Language,Format Type,Hashtags,,hook                       nutella stuffed pancakes basic recipe'                  ,Frequency,,Frequency,,Frequency,,Frequency,,Frequency,,Frequency
TIFFY COOKS 🥟,https://www.tiktok.com/@tiffycooks/video/7290957995012312326,9100000,336400,893,175900,24700,HERE IS MY GO TO',original sound,"You SERIOUSLY need to try this 10 minute Spicy Sweet and Sour Eggs, SO good and easy! ",faceless,english,video,#eggs #spicyfood #dinnerideas ,,bangkok!,1,,,#tacos,2,,,,,3-4,10
Ahmed Younes | احمد يونس,https://www.tiktok.com/@withyouness/video/7416013167026916615,9100000,273900,1682,126300,52300,Stuffed Onion',original sound,tiktokcookbook ,arabic,english,video,الدولمة العراقية او محشي البصل 😍 # #cookwithme ,,bank,1,,,#thanksgiving,2,,,,,9,10
Ermalinda | Home Cooked,https://www.tiktok.com/@perfectpalate/video/7158673806935051546,9100000,234000,539,106400,11100,"Quick, Healthy & Tasty BREAKFAST IDEA",Made You Look,"Quick, Healthy & Tasty Breakfast Ideas 💡 ",faceless,english,video,#fypシ #myfoodie #healthyrecipes #breakfastideas #healthy ,,baon,1,,,#tiktokfoodie,2,,,,,calories,10
joeywellness,https://www.tiktok.com/@joeywellness/video/7229810448512650502,9100000,512900,6913,42000,69500,HOW MUCH SUGAR COCA COLA,original sound,How Much Sugar in 2L of Coca Cola?,face,english,video, #suga #sugar #cocacola #soda #pop #health #awareness #nutrition #wellness #fyp ,,bark',1,,,#tiktokmom,2,,,,,check,10
Tasty Flash,https://www.tiktok.com/@tastyflash/video/6897001718077230337,9000000,961300,2224,73400,34700,butter 60g,Mad at Disney,How to make nougat at home? ,faceless,english,video,#fyp #foryou #tiktokfood #viral #foodtiktok #mashmellow #nougat,,bars,1,,,#top,2,,,,,chip,10
Юлия ✨ готовим вместе!,https://www.tiktok.com/@yulianna_food/video/7015956572501331202,9000000,228100,743,94700,25100,Завтрак за 5 минут',Life Goes On,Супер вкусный и быстрый завтрак ,faceless,russian,video,#завтрак #завтракза5минут #сэндвичсяйцом #бутерброд #рек #быстрыйзавтрак #готовимвкусно #вкусныйзавтрак,,bars!',1,,,#trend,2,,,,,completely,10
Sam Jose,https://www.tiktok.com/@_samjose_/video/7450167668671319338,9000000,609900,5467,23000,5377,breakfast',original sound,This is an interesting breakfast,faceless,english,video, #cooking #recipe #fyp #foryoupage #food #indianfood ,,base',1,,,#turkish,2,,,,,con,10
➷•˚ ༘♡⋆tastebyudr ੈ✩‧₊˚,https://www.tiktok.com/@tastebyudr/video/7350471180605754630,9000000,1000000,2567,295300,74900,Brownie Cookies,origineel geluid,—— brownie cookies🤎🍫 soooo guuuwwwddd✨ • • • • • • • • • ,faceless,english,video,#browniecookies #browniescookies #brownierecipe #baking #browniespanggang #cookiesrecipe #browniecookiesrecipe #ramadhan ,,bc,1,,,#turkishfood,2,,,,,crushed,10
foodbyarii,https://www.tiktok.com/@foodbyarii/video/7362860200497368352,9000000,501300,717,157000,43200,Berries CHEESECAKE',Forest / Nature / Birds / Environmental Sound(1403230),"🫐🍓cheesecake (20cm) 120g butter 200g cookies filling: 250g mascarpone 300g whipping cream 60g powdered sugar  4 tbsp condensed milk topping: 300g berries 70g sugar 2 tbsp cornstarch •If you don't want the seeds of the berries, sift them and cook them a little ",faceless,english,video,#cheesecake #nobakedessert ,,beach,1,,,#turkishpasta,2,,,,,don’t,10
tortentraum1,https://www.tiktok.com/@tortentraum.1/video/7348088760552213792,9000000,210300,867,102100,60100,PUDDING RÖLLCHEN',sunet original,"✨PUDDING RÖLLCHEN✨ Zutaten 1 Liter Milch 175 g Zucker 125 g Mehl 70 g Backkakao 1 Päckchen Vanillezucker 50 Butter 150 g Kokosraspeln 200 ml Sahne 2 Esslöffel Kokosraspeln 1 Esslöffel Zucker 1 Päckchen Sahnesteif Zubereitung Streuen Sie die Kokosraspeln auf ein großes Backblech. Milch, Zucker, Kakao und Mehl in einen Topf geben und zum Kochen bringen. Wenn es zu kochen beginnt, Butter und Vanille dazugeben, bei etwas geringerer Hitze kochen und vom Herd nehmen. Gießen Sie die auf dem Blech über Kokosnusraspeln und lassen Sie sie 2 Stunden lang im Kühlschrank abkühlen. Schlagsahne Zucker und Sahnesteif steif schlagen auf dem vollständig abgekühlten Blech über den Pudding verteilen, in 10 Stücke teilen. In Rollenform servieren. ",faceless,german,video,#saraylokumu #lokum #pudding #easy #yummy #einfacherezepte #tiktok ,,bear,1,,,#upsidedownpastry,2,,,,,family,10
Freya,https://www.tiktok.com/@ruefig/video/7276229138929798442,9000000,1000000,3291,178400,27500,STUFFED BROWNIES,"P.I.Tchaikovsky, Swan Lake (Swan Theme)","Stuffed brownies 🍫🤎 #baketok  Ingredients  for cookie dough  2 eggs 100g granulated sugar 180g light brown sugar 160g salted butter (melted) 1 teaspoon vanilla extract 1/2 teaspoon salt 1 teaspoon baking soda 285g bread flour or all-purpose flour 70g white chocolate chip 160g semi sweet chocolate chip FOR BROWNIE BATTER  2 eggs 95g granulated sugar 205g light brown sugar 200g salted butter (melted) 2 teaspoon vanilla extract 1/2 teaspoon salt 70g cocoa powder 125g bread flour or all-purpose flour 180g semi sweet chocolate chip FOR ASSEMLY  25 Oreo for layering Frozen sheet of nutella (optional) 8 Oreo for topping Full detailed recipe on my website, link in bye-o 💓 freyadish.com  ",faceless,english,video,#bakingrecipe #bakingvideo #bakewithfreya #sweet #desserts #cooking #cookingvideo #food #Foodie #chocolatelover #brownies ,,because...,1,,,#valentinesday,2,,,,,fat,10
Esterimelian,https://www.tiktok.com/@esterimelian/video/7075340158232546587,9000000,764400,1586,40700,4556,classic design',Hati-Hati di Jalan,#smallbusiness #bentocake #cakedecorating,faceless,english,slideshow,#smallbusiness #bentocake #cakedecorating,,beige,1,,,#vintagecake,2,,,,,freshly,10
Maja✨,https://www.tiktok.com/@majasrecipes/video/7447726654593469701,8900000,720300,2915,294800,60500,series',Come On Eileen - Single Edit,day 88/100: ANNA PAUL’S VIRAL TURKISH PASTA🔥 FULL RECIPE LINKED IN BIO orrr go comment on my ig post to have the full recipe sent to you 🫶🏻 this is the quickest & tastiest 15 minute meal ever!! Bound to become a family favorite! Enjoyy🥰 ,faceless,english,slideshow,#annapaul #turkishfood #turkishpasta #turkish #pastatiktok #pasta #pastalover #pastalovers #lunch #dinner #mealinspo #gainz #mealprep #foodtok #easyrecipes ,,belgian,1,,,#watermelon,2,,,,,fun,10
ELIXER,https://www.tiktok.com/@elixer.javier/video/7441515631226129682,8900000,380900,1189,80800,50200,POV: You tried adding water in the airfryer',Yours,"Don’t put too much, I suggest less than 1/2 cup to few tablespoon depending on how big your airfryer is or how high the heating element from the bottom. Again, always practice safety when trying this. ",faceless,english,video,#fyp #foryou #foryoupage #tiktok #tiktokph #tiktokphilippines #food #foodtok #foodtiktok #learnontiktok #airfryer #airfryerhack #elixer #airbaking #airbake #airbakingbyelixer ,,berries,1,,,#weightlosstransformation,2,,,,,help,10
Catherine Zhang,https://www.tiktok.com/@catherine.desserts/video/7399535616070847761,8900000,16100,256,1171,135,let's learn about AI with HP',original sound,"Come with me to learn about AI with @HP 🥳 With so much new tech coming out HP AI PCs unlock a whole new AI experience, it’s time for you to Ask for HP AI PC 😉 ",face,english,video,#sponsored #ad #HPAIPC #HPSpectre #IntelCoreUltra #IntelEvo ,,better,1,,,#wellness,2,,,,,instagram,10
kowanii,https://www.tiktok.com/@kowaniiofficial/video/7355139369897839915,8900000,127600,248,18700,3098,Practice Cream Reusable,Hey Tumbleweed,Reusable cream for piping technique practice ,faceless,english,video,#pipingtips #cakedecoratingtips #cakedecoratingtutorial #pipingbuttercream #pipingcream #pipingtechniques ,,big,1,,,#whattoeat,2,,,,,last,10
Masak di Rumah,https://www.tiktok.com/@masakrumahlawa/video/7229672464056470790,8800000,559100,3395,188600,37000,Asalkan kat rumah ada telur ayam mesti boleh buat kek fluffy ni,Aku gak mau jadi matahari mu,Kek fluffy ni cuma guna telur je 😬 ,faceless,malay,video,#masakdirumah #resepitiktok #resepisimple #foodiemy #kekfluffy #kek #telur ,,biggest,1,,,#whitesaucepasta,2,,,,,minute,10
Emily,https://www.tiktok.com/@emilyyons7/video/7457057670349098286,8800000,306100,1412,9426,3348,First lunch box of 2025 for my kid who do not like school lunch 🥐,original sound,"✨First lunch box of 2025✨  My son requested pasta, I didn’t  have pasta sauce on hands, but I thought we could do something about it. And It turned out to be so good! He really liked  Let me know if you want a full tutorial on how to make a single serving of pasta  ",faceless,english,video,#pasta #fyp #creatorsearchinsights #tiktokmom #lunchboxideas #schoollunch #easyrecipe ,,birthday,1,,,#бутерброд,2,,,,,natural,10
AMANY COOK 🇩🇿,https://www.tiktok.com/@amanycook/video/7444980893082455351,8800000,183600,1611,48400,30900,Collagène',son original,كولاجين طبيعي 100% ، فوائده لا تعد ولا تحصى اهمها الحفاظ على صحة البشرة ورطوبتها ، تقوية العظام والشعر و الاظافر و ازالة الم المفاصل الخ .. . جربوه واعتمدوه رح تستفادو بزااااااااااف 😍!   ,faceless,arabic,video,#كولاجين #كولاجان #كولاجين_طبيعي_للبشره,,biscoff',1,,,#вкуснокакумамы,2,,,,,pan.,10
healthy recipes & motivation,https://www.tiktok.com/@thehealthy_version/video/7214173102031310085,8800000,727100,540,172800,25500,me?',original sound,obsessed with nourishing food 🌱,faceless,english,video,#healthybreakfastrecipes #healthyrecipes #healthylunchideas #nourishingbowl #saladrecipes #veganbowl #healthysauces ,,bite',1,,,#горячееблюдо,2,,,,,prepared,10
bakeaway.id,https://www.tiktok.com/@bakeaway.id/video/7011705569656507675,8800000,987000,3868,27600,3172,Packing Order With Me',"깊은 밤을 날아서 Flying, Deep in the Night",Huhu first order 🙏🏻😭 ,faceless,english,video,#packingorders #packing #firstorder #fypシ #koreancake #cake #lunchboxcake #bentocake #cakedecorating,,bites,1,,,#завтракза5минут,2,,,,,same,10
Mei & Kyong,https://www.tiktok.com/@two.plaid.aprons/video/7380118184755596575,8700000,14600,58,1416,381,We're cooking with our nephew Finny today',original sound," [AD] Introducing SPAM® products to a 4-year-old Growing up, we both remember being picky eaters when we were about 4 years old. Right now, Finny, our little nephew, is right at that age where finding food that he’s interested in eating can be quite the challenge. So today we’re surprising him with one of our favorite snacks we grew up with for lunch — Spam rice balls!  It’s easy to make and fun to eat, so let’s see how he likes it! See below for our recipe. @SPAM®️ Brand  SPAM® Rice Balls  Yield: 12 servings Ingredients: - ½ can SPAM® Classic, diced into small cubes (6 oz)  - 1 egg, beaten  - 2 cups cooked hot white rice (medium or short grain rice)  - 1 sheet nori or 4 sheets seaweed snack, crushed  - 2 TBSP furikake (optional)  - 1 TBSP regular soy sauce  - 1 tsp toasted sesame oil  - Neutral oil for cooking Direction: 1. In a nonstick pan over medium heat, add a small amount of oil. Once the pan is hot, add the diced SPAM® product and stir fry until golden brown. Transfer the SPAM® Classic to a large heatproof bowl. 2. In the same pan over medium high heat, add a small amount of oil. Once the pan is hot again, add the beaten egg and scramble until just cooked. Break up the egg into tiny pieces while cooking and transfer to the bowl with the SPAM® product. 3. To the bowl, add the hot white rice, crushed nori, furikake, soy sauce, and toasted sesame oil. Mix until everything is evenly incorporated.   4. Scoop up about 2 to 3 tablespoons of the rice mixture and pack tightly. Shape the rice into a round ball and repeat with remaining rice mixture. Enjoy warm or at room temperature!",face,english,video,#PromotionWithSPAMBrand #SPAMBrandPartner #spam #easyrecipe,,bi̇m'e,1,,,#идеядлязавтрака,2,,,,,sargento®,10
Marlon & Camille,https://www.tiktok.com/@cmgetfit/video/7371144303181040938,8700000,7018,0,727,203,WHAT WE EAT IN A DAY',RINGS,"#AD Incorporating protein into your diet is important for maintaining muscle mass, especially if you are on a weight loss journey and promoting overall health💯 With Protality, you get the essentials in one convenient package🙌🏾 Each shake has 30 grams of high-quality protein, fiber to support digestive health and 8 essential B vitamins for energy metabolism, it's a delicious blend that supports your nutrition goals🔥 With 150 calories and 1 gram of sugar, it's a smart choice for anyone looking to optimize their nutrition without sacrificing taste or convenience.  Protality has 25 vitamins and minerals, but most importantly, it has protein to support muscle and your nutrition goals while you are on your weight loss journey, so your body has what it needs to #thrive Right now, get $4.00 Walmart Cash back when you purchase (1) Protality 4-pack, while supplies last!",face,english,video,#AD #thrive,,black,1,,,#макароны,2,,,,,sauté,10
foodie_lilly,https://www.tiktok.com/@foodie_lilly/video/7275740725747272992,8700000,208600,1117,69100,42800,shaved frozen tomato BURRATA',original sound,viral shaved frozen fruit - tomato & burrata ❄️🍅 been seeing versions of this everywhere and its absolutely worth the hype! 😮‍💨,faceless,english,video,N/A,,blitz,1,,,#рецепт,2,,,,,save,10
lovetastycook,https://www.tiktok.com/@lovetastycook/video/7012657742263373062,8700000,220900,554,34800,17600,PERFECT WRAP PERFECT MORNING,Baby Work It,Avocado egg wrap ,faceless,english,video,#wraphack #easyrecipe #breakfastchallenge #eggwrap #avocado #cookontiktok #leanontiktok #gotobreakfast,,blogger,1,,,#рецептбездуховки,2,,,,,simmer,10
iramsfoodstory,https://www.tiktok.com/@iramsfoodstory/video/7451360457102789931,8700000,591700,1566,289400,53000,HOW TO MAKE CHOCOLATE CHIP MUFFINS,original sound,"Chocolate Chip Muffins Recipe Ingredients: For the Muffins: - 1/2 cup (115g) unsalted butter, melted - 1 cup (200g) granulated sugar - 2 teaspoons baking powder - 1/2 teaspoon baking soda - Pinch of salt - 1 tablespoon vanilla bean paste or vanilla extract - 2 1/2 cups (315g) all-purpose flour - 2 eggs, room temperature - 1 cup (120g) semi-sweet chocolate chips + more for sprinkling on top - 1 cup (250ml) whole milk + 1 tablespoon vinegar, room temperature - 1/4 cup (65g) Greek yogurt,  room temp  - 2 tablespoons neutral oil Method: 1. Preheat the oven to 425°F (220°C). Prepare the baking tin by lining or greasing it. 2. In a glass, combine the milk and vinegar. Let it sit for 10 minutes or until it curdles. 3. In a mixing bowl, whisk together the melted butter and sugar until well combined. 4. Add the eggs and whisk for 2-3 minutes or until pale in color. 5. Add the milk mixture, vanilla extract, Greek yogurt, and oil. Mix until well combined. 6. In a separate bowl, combine the dry ingredients: flour, baking powder, baking soda, salt, and chocolate chips. 7. Pour the wet mixture into the dry ingredients and mix until just combined. Do not overmix the batter. 8. Divide the batter evenly among the muffin cups. 9. Bake for 5 minutes, then reduce the oven temperature to 375°F (190°C) without opening the oven door. Continue baking for an additional 13-15 minutes or until a toothpick inserted in the center comes out clean. 10. Allow the muffins to cool in the tin for 5 minutes before transferring them to a wire rack to cool completely. ",faceless,english,video,#chocolatemuffin #doublechocolatemuffin #muffins #chocolate #recipe ,,blondie,1,,,#рецептгода,2,,,,,soda,10
iremkiziltac,https://www.tiktok.com/@iremkiziltac/video/7381491171966602502,8700000,17500,42,1866,623,BEACH,original sound,Pentiyle enerjik bir yaza hazırım☀️ Tatil rotam neresi olursa olsun Penti her an yanımda🤍Modumu yansıtan kombinlerim tatil çantamın vazgeçilmezi.🤩 Pembe bayrağımla benim için yaz başladı 🌺🪸@Penti ,face,Turkish,video,#pembebayraklıplaj #isbirliği ,,blondies',1,,,#салат,2,,,,,soft,10
Cookwithme,https://www.tiktok.com/@cookwithme77777/video/7450179651823078678,8700000,122700,1013,30000,19100,🤩🍳,LIGHTWEIGHT FUNK,#beutiful #kochen #love #interestig #news #rek #following #neuheit ,faceless,english,video,#beutiful #kochen #love #interestig #news #rek #following #neuheit ,,blubbery,1,,,#чтобыприготовить,2,,,,,spoon,10
Catherine Zhang,https://www.tiktok.com/@catherine.desserts/video/7464774261585153298,8700000,731800,4288,201300,61700,2 Ingredient Mango Sorbet',Good parts,2 INGREDIENT MANGO SORBET 🥭 tell me an easier way to make sorbet ,face,english,video,#shorts #recipe #dessert #mango #hack #bakinghack #fruit #asian ,,blueberry,1,,,#وصفات,2,,,,,still,10
Giorgiafitfood,https://www.tiktok.com/@giorgiafitfood/video/7263479034875514145,8600000,470400,1336,245000,40600,4 Minute Brownies Only 3 Ingredients',(It Goes Like) Nanana - Edit,Recipe on IG “giorgiapaino” 🍫  ,faceless,english,video,#brownies #chocolate #3ingredientsrecipes,,board',1,,,#وصفات_سهله,2,,,,,super,10
Danilo Cortellini,https://www.tiktok.com/@danilocortellini/video/6985192979615157509,8600000,939300,5549,94000,84700,Upgraded pastachips',Spongebob Tomfoolery - Dante9k Remix,No #pastachips here 😁 ,face,english,video,#crispypasta #stuffedpasta #pastaviral #pastatrend #trending #pastatiktok #tiktokpasta #tiktokchef #foryou #foodontiktok #fypシ #pastachips,,body......,1,,,#먹방,2,,,,,sweet,10
Momma B,https://www.tiktok.com/@brookieervin/video/7264000519306284293,8600000,360500,3917,25300,285200,EXTREME EATERY CHALLENGE,sonido original,"Well , this sure made me happy ",faceless,english,video,#extremeeatery #caesar #massive #parksvillebc #vancouverisland #vacation,,boleh,1,,,.,2,,,,,temperature,10
The Meal Prep King,https://www.tiktok.com/@themealprepking/video/7008996676027354373,8600000,628200,1817,40100,12900,Don't you get bored of eating the same thing every day? 😳,original sound,Answer to @_raizel___ ,faceless,english,slideshow,#learnontiktok #healthy #mealprep #weightloss #fyp,,bombs,1,,,baking,2,,,,,toast,10
coaching.faststyle,https://www.tiktok.com/@coaching.faststyle/video/7351440145838509344,8600000,194900,1826,17300,15700,1200 calories 5 kilos' and '1242 calories 200g',End of Beginning,Attention à la densité calorique ! ,face,english,video,#foryou#coach #Pertedepoids#recette #nutrition #bienêtre #santé #pourtoi ,,book',1,,,cookie,2,,,,,whole,10
Andrea,https://www.tiktok.com/@andreanava.7/video/7445716099175320875,8600000,445700,724,102800,13600,OVERNIGHT OATS,"I Love You, I'm Sorry",Easy overnight oats recipe 🍓🫐🍯🥛 ,faceless,english,video,#overnightoats #oats #easyrecipes #mealprepideas #foryoupage #fyp ,,bored,1,,,"
#easyrecipe
#belgica
#quickeasymeals",1,,,,,yellow,10
Delaney & Shelby,https://www.tiktok.com/@yessidothecookingg/video/7441677940716408110,8600000,28100,245,8544,2483,#CampbellsPartner,original sound,"#CampbellsPartner Cheesy Potato Casserole is our game night hack—perfect for those holiday moments when board games are out, and everyone takes a break to dig into this delicious dish! @Campbell’s Soup #JoyofSidesSeason #Walmart #gamenight #easyrecipe  Cheesy Potatoes  Ingredients: 1 onion, diced 16 oz sour cream 1 can of Campbell’s® Cream of Chicken soup 1 stick of butter, melted 3 cup sharp cheddar cheese, shredded 16 oz frozen diced potatoes, thawed 2 c kettle chips, crushed  Salt and pepper, to taste    Directions: Preheat the oven to 350 degrees. Add a splash of oil to a pan over medium heat. Once hot, add in the onion and sauté until soft and fragrant, set aside. Add sour cream, Campbell’s® Cream of Chicken Soup, butter, 1 c cheddar cheese, and cooled onions to a large bowl. Mix until combined. Fold in the diced potatoes. Top with remaining cheddar cheese and potato chips. Bake uncovered for 50-60 minutes.",faceless,english,video,#CampbellsPartner,,bouquet',1,,,"
#easyrecipes",1,,,,,yogurt,10
joeywellness,https://www.tiktok.com/@joeywellness/video/7260161914414583046,8600000,278400,4761,22500,66100,HOW MUCH SUGAR KETCHUP,original sound,How Much Sugar in Ketchup? ,face,english,video,#suga #sugar #ketchup #health #awareness #food #wellness #fyp ,,bowl,1,,,#,1,,,,,¼,10
Kaye’J Channel,https://www.tiktok.com/@kayejchannel/video/7438836831367548178,8600000,233300,2439,109800,63500,Not your typical Coffee Jelly,original sound - Kaye’J Channel,Coffee Jelly Recipe for your Christmas Dessert ,faceless,english,video,#coffeejelly #dessert #easyrecipe,,bowl',1,,,#1,1,,,,,✨,10
The Good Bite,https://www.tiktok.com/@thegoodbite/video/7207367507542428934,8500000,429600,1313,220600,112100,Cajun Garlic Parmesan Alfredo,original sound,"You need to try this Cajun Garlic-Parmesan Alfredo 🤌 SAVE this one for later!  This is a delicious, quick and easy high protein meal that works perfectly for a weeknight dinner!  Here’s your shopping list:  3 chicken breasts. Tbsp of extra virgin olive oil. Tbsp of cajun seasoning. 20g of unsalted butter. 1 onion  3 cloves of garlic.  250ml of boiling chicken stock. 400ml of semi-skimmed milk. Tbsp of cajun seasoning. 50g of Parmesan  2 tbsp of light cream cheese. Black pepper. 50ml of single cream. Parsley 300g of spaghetti. Full recipe is on our website - link in bio 🙏 ",faceless,english,video,#TheGoodBite #HighProtein #Chicken #GarlicParemsan  #GoodFoodGoodFeels ,,box,1,,,#10minutemeals,1,,,,,15,9
Sentiasa lapar,https://www.tiktok.com/@syaridatulnabilah/video/7235191495257591041,8500000,492300,1170,175600,31700,Loaded Potato Bowl like KFC',girls like me don't cry (Sped Up),Craving a taste of KFC at home?🙋🏻‍♀️ Say hello to this mouthwatering Loaded Potato Bowl recipe inspired by KFC! 🙆🏻‍♀️❤️ It's a creamy mashed potatoes layered with crispy chicken popcorn and some mayo and cheese sauce 😍 It's a bowl that screams 'comfort' with every bite 😋 You wont able to resist cause it's everyone's favourite 😎 Here is the recipe for today: {Mashed potato} 1. 2 potatoes 2. 2 tbsp unsalted butter 3. Salt & black pepper 4. Milk {chicken popcorn} 1. Marinated chicken breast 2. Bestari kentucky flour Mayonnaise and cheese sauce. Can put as much as you want :) ,faceless,english,video,#easysnacksideas #snackbites #snackideas #malaysia #resepimudah ,,boyfriend,1,,,#1minuterecipe,1,,,,,also,9
Butter Dawg,https://www.tiktok.com/@_butter_dawg_/video/7240832653056920875,8500000,382600,7134,24100,91200,"Day of eating: 8,000 calories'",original sound,Day of eating: I’m constipated ,face,english,video,#wieiad #food #eating #calories #mukbang #foodtok #fyp #trending #viral #foryou ,,boyfriends,1,,,#2022,1,,,,,aside,9
iramsfoodstory,https://www.tiktok.com/@iramsfoodstory/video/7460615485671918891,8500000,457200,2782,259300,95900,chocolate chip walnut cookies',original sound,"Levain Chocolate Walnut Cookie 🍪  Yield:Approximately 8-10 large cookies Ingredients: 2 1/4 cups (313g) all-purpose flour 1 ½ teaspoons baking powder 1 teaspoon baking soda 1 teaspoon cornstarch 3/4 cup (150g) dark brown sugar 1/4 cup (50g) granulated sugar 2 cold eggs 2 teaspoons vanilla extract 1 cup (225g) unsalted butter, slightly softened Pinch of salt 2 cups (250g) semi-sweet chocolate chips 1 1/2 cups (190g) roasted walnuts, chopped Instructions: 1. Preheat the oven to 350°F (180°C). Line a baking sheet with parchment paper. 2. In a medium bowl, whisk together flour, baking powder, baking soda, and cornstarch. Set aside. 3. In a large bowl, use an electric mixer to cream together brown sugar, granulated sugar, and butter until light and fluffy. 4. Beat in eggs one at a time, followed by vanilla extract. For 3-4 minutes until the batter turns pale in color and the sugar is well incorporated. 5. Gradually mix in the dry ingredients (flour mixture) until just combined, being careful not to overmix. 6. Stir in chocolate chips and walnuts. 7. Scoop 2 tablespoon-sized balls of dough onto the prepared baking sheet, leaving about 4 inches of space between each cookie. Top it with more chocolate chips and walnuts. 8. Bake for 13-16 minutes or until the edges are lightly golden brown. 9. Remove from the oven and let cool on the baking sheet for 5 minutes before transferring to a wire rack to cool completely. ",faceless,english,video,#cookie #chocolatechip #chocolatechipcookies #levainbakerycookies #levainbakery #baking ,,brain,1,,,#2ingredientsrecipe,1,,,,,bacon,9
iramsfoodstory,https://www.tiktok.com/@iramsfoodstory/video/7449479380427967790,8500000,845300,1409,247400,90800,HOW TO MAKE chocolate chip s'mores cookies',original sound,"S'mores Cookies Recipe Yield: 9-10 cookies Ingredients: For the Cookies: - 1/2 cup (115g) unsalted butter, melted and cooled - 1/2 cup (100g) light brown sugar - 1/3 cup (67g) granulated sugar - 1 large egg, room temperature - 1 tablespoon (15g) vanilla extract - 1 1/4 cups (185g) all-purpose flour, spooned and leveled - 1/2 teaspoon baking soda - pinch of flaky sea salt - 1 cup (120g) semi-sweet chocolate chips For the S'mores Topping: - 1/2 cup (60g) milk chocolate wafers - 1/2 cup (30g) mini marshmallows or 9-10 large marshmallows - 4 sheets of graham crackers Instructions: 1. Preheat the oven to 350°F (175°C). Line a baking sheet with parchment paper. 2. In a bowl, mix the flour, baking soda, and salt. Set aside. 3. In a separate bowl, combine the melted butter, brown sugar, granulated sugar, egg, and vanilla extract. Whisk for 1-2 minutes until a smooth paste forms. 4. Combine the dry ingredients into the wet batter and gently fold until just combined. 5. Add the chocolate chips and mix with a spatula. Do not overmix. 6. Arrange the graham crackers on the prepared baking sheet. Top each cracker with a chocolate wafer, a few mini marshmallows (or one large marshmallow), and a spoonful of cookie dough. 7. Bake for 12-14 minutes or until the edges are golden and crispy, and the centers are gooey. 8. Remove from the oven. Allow the cookies to cool completely on the baking sheet before serving. NOTE:  As soon as cookies come out of the oven, place a round cookie cutter around each and gently spin to smooth uneven edges. ",faceless,english,video,#chocolatechip #smorescookies #cookies #baking #recipe ,,bread',1,,,#30idemenuramadhan2025,1,,,,,banana,9
Munkeys,https://www.tiktok.com/@munkeys_ph/video/7330540334826441990,8400000,170500,978,95700,47700,Stir Fry Chicken',"lofi, chill, hip hop(886723)",Stir Fry Chicken ,faceless,english,video,#foodie #foodtiktokph #chickenrecipe #stirfryrecipe #cooking #easyrecipes #fyp ,,breakfast',1,,,#30minmeals,1,,,,,"basil,",9
natalia,https://www.tiktok.com/@natsnourishments/video/7234182603706830106,8400000,649300,1509,346300,63300,and this time it's the spring summer edition',original sound,10 minute high protein spinach gnocchi!   ,face,english,video,#foodfyp #veganfyp #foodtok #vegantok #10minutemeals #spinachgnocchi,,broccoli',1,,,#30minutemeals,1,,,,,below,9
Cooking by Shabnam👩🏻‍🍳,https://www.tiktok.com/@cookingbyshabnam/video/7430789203979521288,8400000,96900,402,29200,33600,Идея для завтрака,Idea 10,Идея для завтрака✅ Breakfast ideas💡 ,faceless,russian,video,#tiktok #trend #top #tarifler #kahvalti #recipe #breakfastideas #breakfast #вкусноибыстро #завтрак #завтракза5минут #вкусноипросто #ппрецепты #yummyfood ,,brownies',1,,,#30thbirthday,1,,,,,both,9
Юлия ✨ готовим вместе!,https://www.tiktok.com/@yulianna_food/video/7061544994754071809,8300000,92700,275,31600,9194,Макароны в томатном соусе',Not About Us (Byjoemichael Remix),"Быстро, просто, вкусно",faceless,russian,video, #фрикадельки #спагетти #готовимдома #семейныйобед #стройныйрецепт #вкусноибыстро #готовимдома #рецептынакаждыйдень,,brownies),1,,,#3ingredients,1,,,,,bowl.,9
Freya,https://www.tiktok.com/@ruefig/video/7250903847118474542,8300000,1100000,1796,202400,31700,STRAWBERRY AND CREAM MUFFIN',"L'amore dice ciao (From ""La matriarca - The Libertine"") - Main Titles",Strawberry and cream muffins 🍓🤍 ,faceless,english,slideshow,#baketok #strawberry #dessert #baking #bakingvideo #food #foodie #cooking #cookingvideo #sweet #bakingasmr #bakewithfreya #strawberrymuffin ,,buat,1,,,#5daymealprep,1,,,,,breasts,9
AnnikaEats,https://www.tiktok.com/@annikapanikker/video/7404176417103056146,8300000,1300000,2774,171100,114400,girl therapy 🍪🍰☕️✨',original sound,"the only SKILLET chocolate chip cookie🍪recipe you need (shes eggless too). its ooey, gooey, rich and delicious. ",faceless,english,video,"#baking #bakingtiktok #bakingtok #bakingszn #bakingtok #baker #bakersoftiktok #baketok #skilletcookie #skilletchocolatechipcookie #chocolatechip #chocolatechipcookie #gilmoregirls #gilmoregirlstiktok #gilmoregirlsedits #eggless #egglessrecipe #egglessbaking #egglesscookies #foodtok #foodtiktok #foodblog #foodblogger #foodvideo #ooeygooey #cookie #cookies #cookiesoftiktok #cookievideo #girltherapy #bakingtherapy  Skillet cookie, skillet chocolate chip cookie, skillet cookie recipe, skillet, eggless cookie, eggless cookie recipe, ooey gooey cookie, eggless baking, eggless cookie, eggless recipe, baking tiktok, baking tok, baker",,buffalo,1,,,#5minutesandwich,1,,,,,broth,9
